Name,FuelSubType,FuelType,Owner,YearCommissioning,Capacity,Status,Long,Lat,FuelCategory,LGA,Source,Region
Pioneer,Bagasse,Bioenergy,Wilmar Sugar,Jan 2005,69,Operating,147.3306817,-19.55771467,Renewable,Burdekin,,North
Rocky Point Sugar Mill,Bagasse,Bioenergy,Heck Group,Jan 2007,30,Operating,153.3275,-27.7343,Renewable,Gold Coast,,South East
Gympie Coffee Manufacturing,Coffee grounds & sawdust,Bioenergy,Nestle Australia Ltd,Jan 2009,16,Operating,152.6469733,-26.18256158,Renewable,Gympie,,Wide Bay Burnett
Swanbank Landfill,Landfill Gas,Bioenergy,Stanwell Corporation,Jan 2014,7,Operating,152.823553,-27.6573467,Renewable,Ipswich,,South East
Barcaldine Remote Community Solar Farm,Solar ,Solar,Barcaldine Remote Community Solar Farm,Dec 2016,20,Operating,145.3189393,-23.54708784,Renewable,Barcaldine,,Central
Sunshine Coast Solar Farm ,Solar,Solar,Sunshine Coast Council,Jul 2017,15,Operating,153.025774,-26.56009333,Renewable,Sunshine Coast,,South East
Normanton Solar Farm,Solar,Solar,Scouller Energy,Oct 2017,5,Operating,141.0500048,-17.68096032,Renewable,Carpentaria,,Far North
Lakeland Solar Farm,Solar,Solar,Mpower,Dec 2017,10.8,Operating,144.8621,-15.8686,Renewable,Cook,https://www.conergy.com.au/press-release/lakeland-solar-storage-project-update,Far North
Kidston Solar Project (Stage 1),Solar,Solar,Genex Power Limited,Dec 2017,50,Operating,144.1426156,-18.88904575,Renewable,Etheridge,https://genexpower.com.au/50mw-kidston-solar-project/,Far North
Dunblane Solar Farm,Solar,Solar,YD Projects,Feb 2018,7.2,Operating,145.2732039,-23.53877543,Renewable,Barcaldine,https://reneweconomy.com.au/new-11mw-solar-farm-sets-new-benchmarks-queensland-37843/,Central
Longreach Solar Farm,Solar,Solar,Canadian Solar (Australia) Pty,Apr 2018,15,Operating,144.3590996,-23.44661076,Renewable,Longreach,http://longreachsolarfarm.com.au/,Central
Clare Solar Farm,Solar,Solar,FRV Services Australia Pty Ltd,Apr 2018,110,Operating,147.2052831,-19.8399934,Renewable,Burdekin,http://www.claresolarfarm.com.au/index.php/project,North
Sun Metals Solar Farm,Solar,Solar,Sun Metals Corporation Pty,May 2018,126,Operating,146.8745609,-19.33207226,Renewable,Townsville,https://reneweconomy.com.au/sun-metals-says-new-solar-farm-will-underpin-zinc-refinery-expansion-28753/,North
Hamilton Solar Farm,Solar,Solar,Edify Energy,Jul 2018,57.5,Operating,147.7557304,-20.51011337,Renewable,Whitsunday,https://edifyenergy.com/project/hamilton/,"Mackay, Isaac, Whitsunday"
Whitsunday Solar Farm,Solar,Solar,Edify Energy,Jul 2018,57.5,Operating,147.7502465,-20.49390771,Renewable,Whitsunday,https://edifyenergy.com/project/whitsunday/,"Mackay, Isaac, Whitsunday"
Collinsville Solar Power Station,Solar,Solar,RATCH Australia Corporation,Aug 2018,42.5,Operating,147.8073376,-20.54110941,Renewable,Whitsunday,http://ratchaustralia.com/collinsville/about_collinsville.html,"Mackay, Isaac, Whitsunday"
Mt Emerald Wind Farm,Wind,Wind,RATCH Australia Corporation,Aug 2018,180,Operating,145.385747,-17.16889733,Renewable,Mareeba,http://mtemeraldwindfarm.com.au/,Far North
Darling Downs Solar Farm,Solar,Solar,APA Group,Sep 2018,121,Operating,150.8788432,-27.11304799,Renewable,Western Downs,https://www.apa.com.au/about-apa/our-projects/darling-downs-solar-farm/,Darling Downs and South West
Daydream Solar Farm,Solar,Solar,Edify Energy,Sep 2018,150,Operating,147.7669373,-20.47883355,Renewable,Whitsunday,https://edifyenergy.com/project/daydream/,"Mackay, Isaac, Whitsunday"
Baking Board Solar Farm,Solar,Solar,Eco Energy World,Sep 2018,14.7,Operating,150.5537166,-26.72121842,Renewable,Western Downs,https://reneweconomy.com.au/chinchilla-solar-farm-secures-debt-funding-go-merchant-27047/,Darling Downs and South West
Ross River Solar Farm,Solar,Solar,Palisade,Sep 2018,128,Operating,146.7154156,-19.4261522,Renewable,Townsville,http://rossriversolarfarm.com.au/,North
Hughenden Solar Farm,Solar,Solar,Lighthouse Infrastructure,Sep 2018,18,Operating,144.1863504,-20.85484103,Renewable,Flinders,,North
Emerald Solar Park,Solar,Solar,Lighthouse Infrastructure,Sep 2018,72,Operating,148.1263958,-23.50804223,Renewable,Central Highlands,,Central
Susan River Solar Farm,Solar,Solar,Atmos Renewables,Jan 2019,85,Operating,152.7416502,-25.41931799,Renewable,Fraser Coast,,Wide Bay Burnett
Hayman Solar Farm,Solar,Solar,Edify Energy,Jan 2019,50,Operating,147.7530397,-20.48290721,Renewable,Whitsunday,https://edifyenergy.com/project/hayman/,"Mackay, Isaac, Whitsunday"
Childers Solar Farm,Solar,Solar,Atmos Renewables,Mar 2019,56,Operating,152.4027074,-25.30518253,Renewable,Bundaberg,,Wide Bay Burnett
Lilyvale Solar farm,Solar,Solar,FRV Services Australia Pty Ltd,Mar 2019,100,Operating,148.4278423,-23.08377572,Renewable,Central Highlands,http://www.lilyvalesolarfarm.com.au/project,Central
Oakey Solar Farm (Stage 1),Solar,Solar,Foresight Group,Mar 2019,25,Operating,151.6474424,-27.4062701,Renewable,Toowoomba,http://oakeysolarfarm.com.au/,Darling Downs and South West
Haughton Solar Farm (Stage 1),Solar,Solar,Pacific Blue,May 2019,100,Operating,147.049473,-19.744994,Renewable,Burdekin,http://www.pacifichydro.com.au/english/projects/construction/haughton-solar-farm/,North
Rugby Run Solar Farm Stage 1,Solar,Solar,Adani Australia,May 2019,65,Operating,147.9297526,-22.13586379,Renewable,Isaac,http://www.adanirenewables.com.au/rugby-run/,"Mackay, Isaac, Whitsunday"
Clermont (Phase 1),Solar,Solar,Gentari Solar Australia,Jun 2019,89,Operating,147.5792974,-22.83765986,Renewable,Isaac,http://clermontsolarfarm.com.au/ ,"Mackay, Isaac, Whitsunday"
Coopers Gap Wind Farm,Wind,Wind,AGL Energy,Jun 2019,453,Operating,151.4181876,-26.7113224,Renewable,Western Downs,https://www.agl.com.au/about-agl/how-we-source-energy/renewable-energy/coopers-gap-wind-farm,Darling Downs and South West
Oakey Solar Farm (Stage 2),Solar,Solar,Foresight Group,Sep 2019,55,Operating,151.6561565,-27.4092956,Renewable,Toowoomba,http://oakeysolarfarm.com.au/,Darling Downs and South West
Yarranlea Solar Farm,Solar,Solar,Risen Energy,Jan 2020,102,Operating,151.5331238,-27.70934404,Renewable,Toowoomba,http://www.yarranleasolar.com.au/,Darling Downs and South West
Maryrorough (Brigalow) Solar Farm,Solar,Solar,Impact Investment Group,Jun 2020,27.5,Operating,151.5456498,-27.70960574,Renewable,Toowoomba,,Darling Downs and South West
Warwick Solar Farm,Solar,Solar,Terrain Solar/University of Queensland,Sep 2020,64,Operating,152.0716509,-28.18310757,Renewable,Southern Downs,https://www.warwicksolarfarm.com.au/,Darling Downs and South West
